Abate,SIF,Estabelecimento,UF,Município,UF da GTA,Grupo,Espécie,Qtd Abate,Tipo Abate
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,20,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,30,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,20,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,30,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,19,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,30,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,20,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,30,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,19,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,30,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,20,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,30,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,20,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,30,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,20,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,30,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,20,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,30,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,20,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,30,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,20,Normal
fev.-21,3576,FRIGORÍFICO REGIONAL SUDOESTE LTDA,BA,ITAPETINGA,BA,Equídeos,Asinino,30,Normal
fev.-21,46,"NORDESTE PECUARIA, INDUSTRIA E COMERCIO LTDA",BA,AMARGOSA,BA,Equídeos,Asinino,50,Normal
fev.-21,46,"NORDESTE PECUARIA, INDUSTRIA E COMERCIO LTDA",BA,AMARGOSA,BA,Equídeos,Asinino,50,Normal
fev.-21,46,"NORDESTE PECUARIA, INDUSTRIA E COMERCIO LTDA",BA,AMARGOSA,BA,Equídeos,Asinino,50,Normal
